Keyword,Frequency
crypto,240
new game plus,240
sokoban,239
auto-scrolling levels,238
halloween,238
escape room,238
apocalypse,237
trilogy,237
mining,237
furry,235
wolf,235
mascot,234
online multiplayer achievements,234
dice,233
underwater,231
elves,231
ea app,231
samurai,230
bots,228
magician,227
button mashing,223
games for girls,223
suggestive themes,222
immersive,222
local multiplayer,222
arena shooter,222
1990s,222
cinematic,221
playstation underground,221
great soundtrack,221
sports cars,221
prehistoric,221
language selection,221
construction,221
virtual pet simulation,220
dolby digital,220
corpse,220
roguelike deckbuilder,220
shark,219
vehicle customization,218
dwarves,218
stereoscopic 3d,218
weird,218
procedurally generated,217
descendants of other characters,217
declarative title,217
nintendo wi-fi connection,216
revenge,215
bootleg,215
controversy,214
team deathmatch,214
assassin,214
wall jump,214
egypt,214
choose your own adventure,214
female antagonist,213
block-breaking,213
guitar playing,212
score attack,212
gods,212
farming simulator,212
open-source,211
betrayal,211
submarine,211
pizza,210
time manipulation,210
bonus stage,209
ufo,209
story driven,209
1980s,208
games with gold,208
turtle,208
rat,208
instant replay,206
math,206
comic book character,205
dreams,205
finishing move,205
cyborg,204
wiiware,204
merchants,204
drifting,204
real-time,204
fictional currencies,203
player vs player,203
voxel,203
religion,202
one-man army,202
fetch quests,202
cover system,202
ranking system,202
goblins,200
anti-hero,200
runner,199
useable vehicles,199
rail shooter,199
over the shoulder,199
multiple routes,197
nameable protagonist,197
secret achievements,197
amnesia,196
weapons swap,196
pax east 2013,196
kinetic novel,195
questing,195
minimalist,195
on-rails,194
blockchain game,194
escaping imprisonment,194
vending machine interaction,193
infinite ammo,193
pick your gender,193
nintendo 3ds virtual console,193
orcs,192
stealth kill,191
digital rights management,191
modern day,190
unofficial port,190
slow-motion,189
grinding,189
monkey,189
singing,189
teenager,188
doctor,188
dead multiplayer,188
shooting,188
space battle,188
maid,187
based on - manga,187
cars,187
cga graphics,186
sleeping,186
motion blur,186
flashback,186
cross-platform multiplayer,186
previously on - gametap,185
random encounter,185
aquatic,184
xbox one x enhanced,184
steam workshop,183
superpowers,183
battle screen,182
space simulation,182
boxing,182
dungeon crawling,182
collectathon,182
photography,182
spooky,182
phantom,181
environmental puzzles,181
survival mode,180
status effects,180
space combat,180
ice stage,180
suicide,180
pig,180
digital distribution only,179
movie reference,177
idle,177
dracula,177
japanese games based on western ips,177
violence,176
political,176
kinect support,176
classic,176
animal protagonist,176
tournament,176
in-game advertising,175
ambient music,175
been here before,175
summoning support,174
dragon,174
escort mission,174
overworld,173
jump scare moment,173
cow,173
skill points in game,173
pachinko,172
controller recommendation,172
temporary invincibility,172
soldier,172
skill tree,171
product placement,171
alchemy,171
randomly generated maps,171
terrorists,171
mario,171
demake,171
pets,171
camping,170
skiing,169
mad scientist,169
block puzzle,168
idler,168
shareware,167
pax prime 2012,167
penalties,167
planet,167
trains,167
card collection,166
playstation move support,166
sheep,166
offline,165
capture the flag,165
creepypasta,164
solitaire,164
scripted events,164
satire,164
time trials,162
narration,162
noir,162
internet culture reference,162
dating sim,161
ai-generated voices,161
demon,160
political thriller,160
drugs,160
nazis,160
combat racing,159
fnaf fangame,159
pinball,158
collecting,158
puppet,158
licensed cars,158
advergame,158
adult protagonist,157
psychedelic,157
art,157
brazil,156
greek mythology,156
simulation,156
theft,156
physics puzzles,155
gothic,155
mana,154
hostages,154
horse riding,154
controller required,154
overweight character,153
micromanagement,153
street racing,153
feudal japan,152
competitive,152
girls,152
